Source File,Page,Confidence,Reg. #/File Sym,Physical Form,Product Name (PBN),Use,Use Site,App. Target,App. Type,App. Equipment,App. Timing (Site Status),App. Timing (other),App Rate (lb ai/A),A.I. Max Single Rate/App. (lb a.i./A),Max # Apps/C.C.,A.I. Max Total Rate/C.C. (lb a.i./A),Max # Apps/Yr.,A.I. Max Total Rate/Yr. (lb a.i./A),MRI (days),REI,PHI (days),PPE,Additional Information,Max No. of CC/yr,Geographic Restrictions,Drift Restrictions,Soil Restrictions,On-field Non-target Species Restrictions,Additional Restrictions for Use/Use Site
264-1106_Indaziflam 200 SC Herbicide_5_19_2025_BASE.pdf,17-18,High,264-1106,SC,Indaziflam 200SC Herbicide,TREE NUTS CROP GROUP 14-12 (PECAN),Agricultural (Outdoor),Soil,Broadcast,Ground equipment,Pre-emergence,When weeds germinate,0.045 to 0.085,0.045 to 0.085,NS,NS,NS,0.078 to 0.134 (<1% OM); 0.104 to 0.134 (1-3% OM); 0.134 (>3% OM),90,12 hours,14,Long-sleeved shirt and long pants; shoes plus socks; waterproof gloves,Minimum tree age: 3 years. Max rate per application: 3.5 to 6.5 fl oz/A. Max rate per year: 6.0 to 10.3 fl oz/A (<1% OM) 8.0 to 10.3 fl oz/A (1-3% OM) 10.3 fl oz/A (>3% OM). In CA counties of Kern Inyo Tulare Kings Fresno Madera: apply only after harvest up to beginning emergence of green leaf tissue.,NS,Use only in orchards established at least three years. Not for sale distribution or use in Nassau or Suffolk County NY. In Kern Inyo Tulare Kings Fresno Madera CA counties: apply only after harvest up to green leaf emergence.,DO NOT apply by aerial equipment or chemigation. Apply with nozzles that deliver medium or larger spray droplets (ASAE S-572.1). Keep spray boom at lowest possible height.,DO NOT use on soils with 20% or greater gravel content. Fill in cracks or depressions from transplanting prior to application.,NS,DO NOT apply when nuts intended for harvest are on ground. Avoid spray contact with foliage green bark roots or fruit.
264-1106_Indaziflam 200 SC Herbicide_5_19_2025_BASE.pdf,19,High,264-1106,SC,Indaziflam 200SC Herbicide,TROPICAL AND SUBTROPICAL EDIBLE PEEL CROP GROUP 23,Agricultural (Outdoor),Soil,Broadcast,Ground equipment,Pre-emergence,When weeds germinate,0.045 (<1% OM); 0.045 to 0.065 (1-3% OM); 0.065 to 0.085 (>3% OM),0.045 (<1% OM); 0.045 to 0.065 (1-3% OM); 0.065 to 0.085 (>3% OM),NS,NS,NS,0.091 (<1% OM); 0.11 (1-3% OM); 0.134 (>3% OM),90,12 hours,14,Long-sleeved shirt and long pants; shoes plus socks; waterproof gloves,Max rate per application: 3.5 fl oz/A (<1% OM) 3.5 to 5.0 fl oz/A (1-3% OM) 5.0 to 6.5 fl oz/A (>3% OM). Max rate per year: 7.0 fl oz/A (<1% OM) 8.5 fl oz/A (1-3% OM) 10.3 fl oz/A (>3% OM).,NS,Not for sale distribution or use in Nassau or Suffolk County NY.,DO NOT apply by aerial equipment or chemigation. Apply with nozzles that deliver medium or larger spray droplets (ASAE S-572.1). Keep spray boom at lowest possible height.,DO NOT use on soils with 20% or greater gravel content.,NS,Avoid spray contact with foliage green bark roots or fruit.
264-1106_Indaziflam 200 SC Herbicide_5_19_2025_BASE.pdf,19,High,264-1106,SC,Indaziflam 200SC Herbicide,TROPICAL AND SUBTROPICAL INEDIBLE PEEL CROP GROUP 24,Agricultural (Outdoor),Soil,Broadcast,Ground equipment,Pre-emergence,When weeds germinate,0.045 (<1% OM); 0.045 to 0.065 (1-3% OM); 0.065 to 0.085 (>3% OM),0.045 (<1% OM); 0.045 to 0.065 (1-3% OM); 0.065 to 0.085 (>3% OM),NS,NS,NS,0.091 (<1% OM); 0.11 (1-3% OM); 0.134 (>3% OM),90,12 hours,14,Long-sleeved shirt and long pants; shoes plus socks; waterproof gloves,Max rate per application: 3.5 fl oz/A (<1% OM) 3.5 to 5.0 fl oz/A (1-3% OM) 5.0 to 6.5 fl oz/A (>3% OM). Max rate per year: 7.0 fl oz/A (<1% OM) 8.5 fl oz/A (1-3% OM) 10.3 fl oz/A (>3% OM).,NS,Not for sale distribution or use in Nassau or Suffolk County NY.,DO NOT apply by aerial equipment or chemigation. Apply with nozzles that deliver medium or larger spray droplets (ASAE S-572.1). Keep spray boom at lowest possible height.,DO NOT use on soils with 20% or greater gravel content.,NS,Avoid spray contact with foliage green bark roots or fruit.
264-1106_Indaziflam 200 SC Herbicide_5_19_2025_BASE.pdf,21-22,High,264-1106,SC,Indaziflam 200SC Herbicide,SUGARCANE (NEW PLANTINGS),Agricultural (Outdoor),Soil,Broadcast,Ground equipment,Pre-emergence,Prior to emergence or at cultivation/layby prior to canopy closure,0.026 to 0.049,0.026 to 0.049,NS,NS,NS,0.049,60,12 hours,120,Long-sleeved shirt and long pants; shoes plus socks; waterproof gloves,For use in FL LA and TX. Apply to newly planted cane as pre-emergent at 2.0 fl oz/A followed by second application of 2.0 fl oz at cultivation/layby if needed; or single application of 2.0 to 3.75 fl oz/A either prior to emergence or at cultivation/layby. Max rate per year: 3.75 fl oz/A.,NS,For use in FL LA and TX only. Not for sale distribution or use in Nassau or Suffolk County NY.,DO NOT apply by aerial equipment or chemigation. Apply with nozzles that deliver medium or larger spray droplets (ASAE S-572.1). Keep spray boom at lowest possible height.,DO NOT use on soils with 20% or greater gravel content.,NS,DO NOT harvest within 120 days of application. Allow minimum 60 days between applications.
264-1106_Indaziflam 200 SC Herbicide_5_19_2025_BASE.pdf,21-22,High,264-1106,SC,Indaziflam 200SC Herbicide,SUGARCANE (RATOON),Agricultural (Outdoor),Soil,Broadcast,Ground equipment,Pre-emergence,Post-harvest or pre-emergence before canopy closure,0.026 to 0.049,0.026 to 0.049,NS,NS,NS,0.049,60,12 hours,120,Long-sleeved shirt and long pants; shoes plus socks; waterproof gloves,For use in FL LA and TX. Apply to established ratoon plantings as pre-emergent shortly after harvest or post-harvest application of 2.0 to 3.75 fl oz/A or pre-emergent before canopy closure of 2.0 fl oz/A. Max rate per year: 3.75 fl oz/A.,NS,For use in FL LA and TX only. Not for sale distribution or use in Nassau or Suffolk County NY.,DO NOT apply by aerial equipment or chemigation. Apply with nozzles that deliver medium or larger spray droplets (ASAE S-572.1). Keep spray boom at lowest possible height.,DO NOT use on soils with 20% or greater gravel content.,NS,DO NOT harvest within 120 days of application. Allow minimum 60 days between applications.
264-1106_Indaziflam 200 SC Herbicide_5_19_2025_BASE.pdf,22-23,High,264-1106,SC,Indaziflam 200SC Herbicide,GRASSES GROWN FOR SEED (EXCEPT TIMOTHY),Agricultural (Outdoor),Soil,Broadcast,Ground equipment,Pre-emergence,When weeds germinate,0.026,0.026,NS,NS,NS,0.039,NS,12 hours,0,Long-sleeved shirt and long pants; shoes plus socks; waterproof gloves,For use in eastern OR eastern WA and Idaho. Max rate per year: 3.0 fl oz/A. DO NOT cut hay within 30 days of single application. DO NOT apply more than once every two years. Minimum plant back interval: 22 months (cereal crops root crops) 24 months (peas lentils chickpeas) 36 months (other crops).,NS,For use in eastern OR eastern WA and Idaho only. Not for sale distribution or use in Nassau or Suffolk County NY.,DO NOT apply by aerial equipment or chemigation. Apply with nozzles that deliver medium or larger spray droplets (ASAE S-572.1). Keep spray boom at lowest possible height.,DO NOT use on soils with 20% or greater gravel content. DO NOT apply where there are exposed roots open channels or depressions that would allow product to move into root zone.,NS,DO NOT cut hay within 30 days of application. DO NOT apply more than once every two years. DO NOT apply within 36 months of rotation to another crop unless specified in rotational crop restrictions.
264-1106_Indaziflam 200 SC Herbicide_5_19_2025_BASE.pdf,22-23,High,264-1106,SC,Indaziflam 200SC Herbicide,TIMOTHY GROWN FOR SEED OR HAY,Agricultural (Outdoor),Soil,Broadcast,Ground equipment,Pre-emergence,When weeds germinate,0.026,0.026,NS,NS,NS,0.026,NS,12 hours,0,Long-sleeved shirt and long pants; shoes plus socks; waterproof gloves,For use in eastern OR eastern WA and Idaho. Max rate per year: 2.0 fl oz/A. DO NOT cut hay within 30 days of single application. DO NOT apply more than once every two years.,NS,For use in eastern OR eastern WA and Idaho only. Not for sale distribution or use in Nassau or Suffolk County NY.,DO NOT apply by aerial equipment or chemigation. Apply with nozzles that deliver medium or larger spray droplets (ASAE S-572.1). Keep spray boom at lowest possible height.,DO NOT use on soils with 20% or greater gravel content. DO NOT apply where there are exposed roots open channels or depressions that would allow product to move into root zone.,NS,DO NOT cut hay within 30 days of application. DO NOT apply more than once every two years.
264-1106_Indaziflam 200 SC Herbicide_5_19_2025_BASE.pdf,23,High,264-1106,SC,Indaziflam 200SC Herbicide,FARMSTEAD AREAS,Residential (Outdoor),Soil,Broadcast,Ground equipment,Pre-emergence,When weeds germinate,0.065 (coarse/medium soil); 0.065 to 0.085 (fine soil),0.065 (coarse/medium soil); 0.065 to 0.085 (fine soil),NS,NS,NS,0.088,NS,12 hours,NA,Long-sleeved shirt and long pants; shoes plus socks; waterproof gloves,For preemergent weed control around farmstead building foundations non-paved farm roads and driveways farm equipment lots ungrazed fences and shelter belts around cropland. Apply 5.0 fl oz/A for coarse/medium textured soil or 5 to 6.5 fl oz/A for fine textured soil. Max rate: 6.8 fl oz/A per year. For small sprayers mix 0.1 fl oz per gallon water to 1000 sq ft.,NS,DO NOT use in farmstead areas on Long Island NY. Not for sale distribution or use in Nassau or Suffolk County NY.,DO NOT apply by aerial equipment or chemigation. Apply with nozzles that deliver medium or larger spray droplets (ASAE S-572.1). Keep spray boom at lowest possible height.,DO NOT use on soils with 20% or greater gravel content.,NS,Avoid spray contact with foliage green bark and roots of desired plants. Will not control weeds already emerged.
264-1106_Indaziflam 200 SC Herbicide_5_19_2025_BASE.pdf,24-26,High,264-1106,SC,Indaziflam 200SC Herbicide,ORNAMENTALS (LANDSCAPE),Residential (Outdoor),Soil,Broadcast,Ground equipment,Pre-emergence,When weeds germinate,0.029 to 0.057,0.029 to 0.057,NS,NS,NS,0.088,90,12 hours,NA,Long-sleeved shirt and long pants; shoes plus socks; waterproof gloves,For residential commercial federal state and local plantings. Apply 2.2 to 4.4 fl oz/A around established ornamentals. Max rate: 6.8 fl oz/A per year. Irrigate to activate within several days after application. Subsequent application can be made within 90 days if max rate not exceeded.,NS,Not for sale distribution or use in Nassau or Suffolk County NY.,DO NOT apply by aerial equipment or chemigation. Apply with nozzles that deliver medium or larger spray droplets (ASAE S-572.1). Keep spray boom at lowest possible height.,DO NOT use on soils with 20% or greater gravel content. Ornamentals in soil exceeding 80% sand or 20% gravel may be at risk.,NS,DO NOT allow spray to contact foliage. DO NOT use around bedding plants or where bedding plants may be planted/seeded for minimum one year. DO NOT use around bearing fruit/nut trees. DO NOT use around non-bearing fruit trees unless at least 1 year old (citrus) or 3 years old (others). DO NOT use within drip line of bearing fruit/nut trees. DO NOT mix into soil. DO NOT use in greenhouses. DO NOT use on nursery seedbeds rooted cuttings or young plants in liners. DO NOT apply to ornamentals in containers except pot-in-pot. DO NOT apply to ornamental bulbs in production fields. DO NOT apply to ornamental bulbs or herbaceous perennials after emergence. DO NOT apply over-the-top. DO NOT apply to budded grafts or graft unions. Apply only to ornamentals listed on label.
264-1106_Indaziflam 200 SC Herbicide_5_19_2025_BASE.pdf,25-26,High,264-1106,SC,Indaziflam 200SC Herbicide,ORNAMENTALS (PRODUCTION NURSERY),Agricultural (Outdoor),Soil,Broadcast,Ground equipment,Pre-emergence,When weeds germinate,0.036 to 0.088,0.036 to 0.088,NS,NS,NS,0.088,NS,12 hours,NA,Long-sleeved shirt and long pants; shoes plus socks; waterproof gloves,For outdoor nurseries shade houses hoop houses. Apply 2.8 to 6.8 fl oz/A to established plants. Provides up to 8 months weed control. Max rate: 6.8 fl oz/A per year. Apply to dormant plants or after dormancy taking care not to contact expanding buds or new leaves.,NS,Not for sale distribution or use in Nassau or Suffolk County NY.,DO NOT apply by aerial equipment or chemigation. Apply with nozzles that deliver medium or larger spray droplets (ASAE S-572.1). Keep spray boom at lowest possible height.,DO NOT use on soils with 20% or greater gravel content. Ornamentals in soil exceeding 80% sand or 20% gravel may be at risk. Apply to soil free of weeds debris and soil clods.,NS,DO NOT apply to newly rooted cuttings or seedling beds. DO NOT allow spray to contact foliage. DO NOT use in greenhouses. DO NOT use on nursery seedbeds rooted cuttings or young plants in liners. DO NOT apply to ornamentals in containers except pot-in-pot. DO NOT apply to ornamental bulbs in production fields. DO NOT apply to ornamental bulbs or herbaceous perennials after emergence. DO NOT apply over-the-top. DO NOT apply to budded grafts or graft unions. Apply only to ornamentals listed on label. Herbicidal efficacy may be reduced if soil is disturbed after application.
264-1106_Indaziflam 200 SC Herbicide_5_19_2025_BASE.pdf,29,High,264-1106,SC,Indaziflam 200SC Herbicide,CHRISTMAS TREES,Agricultural (Outdoor),Soil,Broadcast,Ground equipment,Pre-emergence,When weeds germinate,0.036 to 0.075,0.036 to 0.075,NS,NS,NS,0.088,NS,12 hours,NA,Long-sleeved shirt and long pants; shoes plus socks; waterproof gloves,Apply 2.8 to 5.8 fl oz/A as directed spray to soil surrounding established plants. Max rate: 6.8 fl oz/A per year. Avoid contacting plant stems and leaves with directed spray solution.,NS,Not for sale distribution or use in Nassau or Suffolk County NY.,DO NOT apply by aerial equipment or chemigation. Apply with nozzles that deliver medium or larger spray droplets (ASAE S-572.1). Keep spray boom at lowest possible height.,DO NOT use on soils with 20% or greater gravel content.,NS,DO NOT apply to seedlings or seedling beds. Avoid contacting plant stems and leaves with spray. May tank-mix with glyphosate or glufosinate labeled for conifers but DO NOT apply tank-mix to conifer foliage.
264-1106_Indaziflam 200 SC Herbicide_5_19_2025_BASE.pdf,29,High,264-1106,SC,Indaziflam 200SC Herbicide,CONIFER PLANTATIONS,Agricultural (Outdoor),Soil,Broadcast,Ground equipment,Pre-emergence,When weeds germinate,0.036 to 0.075,0.036 to 0.075,NS,NS,NS,0.088,NS,12 hours,NA,Long-sleeved shirt and long pants; shoes plus socks; waterproof gloves,Apply 2.8 to 5.8 fl oz/A as directed spray to soil surrounding established plants. Max rate: 6.8 fl oz/A per year. Established plants are transplants that are actively growing and where soil has settled.,NS,Not for sale distribution or use in Nassau or Suffolk County NY.,DO NOT apply by aerial equipment or chemigation. Apply with nozzles that deliver medium or larger spray droplets (ASAE S-572.1). Keep spray boom at lowest possible height.,DO NOT use on soils with 20% or greater gravel content.,NS,DO NOT apply to seedlings or seedling beds. Avoid contacting plant stems and leaves with spray. May tank-mix with glyphosate or glufosinate labeled for conifers but DO NOT apply tank-mix to conifer foliage.
