Reg. #/ File Sym,Physcial Form.,Product Name (PBN),Use,Use Site,"App.
Target","App.
Type","App.
Equipment","App.
Timing (Site Status)","App.
Timing (other)","A.I.
Max Single Rate
/ App. (lb a.i./A)","Max # Apps
/ C.C.","A. I.
Max Total Rate
/ C.C. (lb a.i./A","Max # Apps
/ Yr.","A. I.
Max Total Rate
/ Yr. (lb a.i./A)","MRI
(days)",PHI (days),Additional Information,Max No. of CC/yr,Geographic Restrictions,Drift Restrictions,Soil Restrictions,On-field Non-target Species Restrictions,Additional Restrictions for Use/Use Site
264-1198,SL,SIVANTO 400 SL,"Low Growing Berry (Subgroup 13-07G), except Cranberry)",Agricultural (Outdoor),Foliar,Broadcast,"ground sprayers, fixed or rotary winged aircraft, or through properly designed, sprinkler-type overhead chemigation equipment",Post-emergence,When pests occur,0.183,NS,0.365,NS,0.365,10,0,Minimum Application Volume: 10 Gallons/Acre - Ground; 3 Gallons/Acre - Aerial,1,"NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)","Max Release Height (ft): 10

ASABE Droplet Size: Coarse",N/A,"Pollinators: recommended that foliar insecticides are applied late in the afternoon, evening, or at night outside of daily peak foraging periods.",DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; No aerial application in New York State. Not commercial product.
264-1198,SL,SIVANTO 400 SL,"Low Growing Berry (Subgroup 13-07G), except Cranberry)",Agricultural (Outdoor),Soil,Chemigation/ Drench,"Chemigation low-pressure drip, trickle, micro-sprinkler or equiv. equipment; Potting hole drench",Post-emergence,When pests occur,0.183,NS,0.365,NS,0.365,NS,1,"May be applied at the specified dosage by the following methods: Chemigation into root zone through low-pressure drip, trickle, micro-sprinkler or equiv. equipment; Potting hole drench at transplanting",1,"NY restriction flupyradifurone: Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)",,,,Not commercial product.
264-1198,SL,SIVANTO 400 SL,Peanut,Agricultural (Outdoor),Foliar,Broadcast,"ground sprayers, fixed or rotary winged aircraft, or through properly designed, sprinkler-type overhead chemigation equipment",Post-emergence,When pests occur,0.183,NS,0.365,NS,0.365,10,7,Minimum Application Volume: 10 Gallons/Acre - Ground; 3 Gallons/Acre - Aerial,1,"NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)","Max Release Height (ft): 10

ASABE Droplet Size: Coarse",N/A,"Pollinators: recommended that foliar insecticides are applied late in the afternoon, evening, or at night outside of daily peak foraging periods.",DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; No aerial application in New York State. Not commercial product.
264-1198,SL,SIVANTO 400 SL,Pome Fruit (CG 11-10),Agricultural (Outdoor),Foliar,Broadcast,"ground sprayers, fixed or rotary winged aircraft, or through properly designed, sprinkler-type overhead chemigation equipment",Post-emergence,When pests occur,0.183,NS,0.365,NS,0.365,10,14,Minimum Application Volume: 25 Gallons/Acre - Ground; 10 Gallons/Acre - Aerial,1,"NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)","Max Release Height (ft): 10

ASABE Droplet Size: Coarse",N/A,"Pollinators: recommended that foliar insecticides are applied late in the afternoon, evening, or at night outside of daily peak foraging periods.",Do not apply with horticultural oils to pear in late-season or during periods of above average temperatures. DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; No aerial application in New York State. Not commercial product.
264-1198,SL,SIVANTO 400 SL,Pome Fruit (CG 11-10),Agricultural (Outdoor),Soil,Chemigation/ Shank injection/ Drench,"Chemigation low-pressure drip, trickle, micro-sprinkler, Shank or subsurface side-dress injection; At-transplant/ Post-transplant drench",Post-emergence,When pests occur,0.365,1,0.365,1,0.365,NS,30,"Chemigation into root zone through low-pressure drip, trickle, micro-sprinkler or equiv. equipment; At-transplant drench followimg setting and covering; Post-transplant drench; Shank or subsurface side-dress, injected to a depth just above or just within the root zone and between the trunk and drip line of the tree canopy. Apply product in a min. of 10 gals/A using multiple shanks on both sides of trees. Ensure product placement is below sod or orchard floor debris. Irrigation covering entire treated area should follow within 48 hours to promote uptake by root system",1,"NY restriction flupyradifurone: Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)",,,,Not commercial product.
264-1198,SL,SIVANTO 400 SL,"Root Vegetables, except Sugarbeet (Subgroup 1B)",Agricultural (Outdoor),Foliar,Broadcast,"ground sprayers, fixed or rotary winged aircraft, or through properly designed, sprinkler-type overhead chemigation equipment",Post-emergence,When pests occur,0.183,NS,0.365,NS,0.365,10,7,Minimum Application Volume: 10 Gallons/Acre - Ground; 3 Gallons/Acre - Aerial,1,"NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)","Max Release Height (ft): 10

ASABE Droplet Size: Coarse",N/A,"Pollinators: recommended that foliar insecticides are applied late in the afternoon, evening, or at night outside of daily peak foraging periods.","Do not harvest the tops (leaves) from any crop listed under Crop Subgroup 1B, except turnip greens and kava leaves, for human or livestock consumption. DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; No aerial application in New York State. Not commercial product."
264-1198,SL,SIVANTO 400 SL,"Small Fruit Vine Climbing, except Fuzzy Kiwifruit (CG 13-07F)",Agricultural (Outdoor),Foliar,Broadcast,"ground sprayers, fixed or rotary winged aircraft, or through properly designed, sprinkler-type overhead chemigation equipment",Post-emergence,When pests occur,0.183,NS,0.365,NS,0.365,10,0,Minimum Application Volume: 25 Gallons/Acre - Ground; 10 Gallons/Acre - Aerial,1,"NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)","Max Release Height (ft): 10

ASABE Droplet Size: Coarse",N/A,"Pollinators: recommended that foliar insecticides are applied late in the afternoon, evening, or at night outside of daily peak foraging periods.",DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; No aerial application in New York State. Not commercial product.
264-1198,SL,SIVANTO 400 SL,"Small Fruit Vine Climbing, except Fuzzy Kiwifruit (CG 13-07F)",Agricultural (Outdoor),Soil,Chemigation/ Drench,"chemigation low-pressure drip, trickle, micro-sprinkler or equiv. equipment; Basal hole drench",Post-emergence,When pests occur,0.365,1,0.365,1,0.365,NS,30,"May be applied at the specified dosage by the following methods: Chemigation into root zone through low-pressure drip, trickle, micro-sprinkler or equiv. equipment; Basal drench in sufficient water to move into root zone",1,"NY restriction flupyradifurone: Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)",,,,Not commercial product.
264-1198,SL,SIVANTO 400 SL,Sorghum (including production for seed),Agricultural (Outdoor),Soil,Chemigation/ In-furrow/ Injection/ Shank Injection,"Chemigation low-pressure drip, trickle, micro-sprinkler or equiv. equipment; Injection or in-furrow spray for planting; Shank Subsurface or Surface side-dress",Pre-emergence/ Post-emergence,When pests occur,0.365,2,0.365,2,0.365,NS,45,"May be applied at the specified dosage by the following methods: Injection below the eventual seed row prior to planting. Place product 3 - 4 inches below seed-line; In-furrow spray during planting; Chemigation into root-zone through low-pressure drip, trickle, micro-sprinkler or equiv. equipment; Subsurface side-dress shanked into the root zone on both sides of the plants; Surface side-dress followed by irrigation, a rain event or mechanically incorporated",1,"NY restriction flupyradifurone: Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)",,For injection: Place product 3 - 4 inches below seed line,,Not commercial product.
264-1198,SL,SIVANTO 400 SL,Stone Fruit (CG 12-12),Agricultural (Outdoor),Foliar,Broadcast,"ground sprayers, fixed or rotary winged aircraft, or through properly designed, sprinkler-type overhead chemigation equipment",Post-emergence,When pests occur,0.183,4,0.365,4,0.365,10,14,Minimum Application Volume: 25 Gallons/Acre - Ground; 10 Gallons/Acre - Aerial,1,"NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)","Max Release Height (ft): 10

ASABE Droplet Size: Coarse",N/A,"Pollinators: recommended that foliar insecticides are applied late in the afternoon, evening, or at night outside of daily peak foraging periods.Do not apply to crop foliage during foraging by alfalfa leafcutting bees used for pollination services.",DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; No aerial application in New York State. Not commercial product.
264-1198,SL,SIVANTO 400 SL,Stone Fruit (CG 12-12),Agricultural (Outdoor),Soil,Chemigation/ Shank injection/ Drench,"Chemigation low-pressure drip, trickle, micro-sprinkler, Shank or subsurface side-dress injection; At-transplant/ Post-transplant drench",Post-emergence,When pests occur,0.365,1,0.365,1,0.365,NS,30,"May be applied at the specified dosage by the following methods: Chemigation into root-zone through low-pressure drip, trickle, micro-sprinkler or equiv. equipment; Post-transplant drench following setting and covering; Shank or subsurface side-dress, injected to a depth just above or just within the root zone and between the trunk and drip line of the tree canopy. Apply product in a minimum of 10 gal/A using multiple shanks on both sides of trees. Ensure product placement is below sod or orchard floor debris. Irrigation covering entire treated area should follow within 48 hours to promote uptake by root system.",1,"NY restriction flupyradifurone: Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)",,,,Not commercial product.
264-1198,SL,SIVANTO 400 SL,Taro Leaves,Agricultural (Outdoor),Foliar,Broadcast,"ground sprayers, fixed or rotary winged aircraft, or through properly designed, sprinkler-type overhead chemigation equipment",Post-emergence,When pests occur,0.183,NS,0.365,NS,1.095,7,1,Minimum Application Volume: 10 Gallons/Acre - Ground; 3 Gallons/Acre - Aerial,3,"NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)","Max Release Height (ft): 10

ASABE Droplet Size: Coarse",N/A,"Pollinators: recommended that foliar insecticides are applied late in the afternoon, evening, or at night outside of daily peak foraging periods.",DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; No aerial application in New York State. Not commercial product.
264-1198,SL,SIVANTO 400 SL,Taro Leaves,Agricultural (Outdoor),Soil,Chemigation/ Injection/ Drench,"Chemigation low-pressure drip, trickle, micro-sprinkler or equiv. equipment; Injection prior to planting; Potting hole drench or Post-transplant drench",Pre-emergencePost-emergence,When pests occur,0.365,1,0.365,3,1.095,NS,21,"May be applied at the specified dosage by the following methods: Chemigation into root zone through low-pressure drip, trickle, micro-sprinkler or equiv. equipment; Injection below the eventual seed line prior to planting. Place product 3-4 inches below seed line; Potting hole drench at transplanting; Post-transplant drench following setting and covering",3,"NY restriction flupyradifurone:Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)",,For injection: Place SIVANTO 200 SL 3-4 inches below the seed line,,Not commercial product.
264-1198,SL,SIVANTO 400 SL,"Tree Nuts (CG 14-12, except Almond)",Agricultural (Outdoor),Foliar,Broadcast,"ground sprayers, fixed or rotary winged aircraft, or through properly designed, sprinkler-type overhead chemigation equipment",Post-emergence,When pests occur,0.183,NS,0.365,NS,0.365,14,7,Minimum Application Volume: 25 Gallons/A - Ground; 10 Gallons/Acre - Aerial,1,"NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)","Max Release Height (ft): 10

ASABE Droplet Size: Coarse",N/A,"Pollinators: recommended that foliar insecticides are applied late in the afternoon, evening, or at night outside of daily peak foraging periods.",DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; No aerial application in New York State. Not commercial product.
264-1198,SL,SIVANTO 400 SL,"Tree Nuts (CG 14-12, except Almond)",Agricultural (Outdoor),Soil,Chemigation/ Shank injection/ Drench,"Chemigation low-pressure drip, trickle, micro-sprinkler, Shank or subsurface side-dress injection; At-transplant/ Post-transplant drench",Post-emergence,When pests occur,0.365,1,0.365,1,0.365,NS,30,"Chemigation into root zone through low-pressure drip, trickle, micro-sprinkler or equiv. equipment; At-transplant drench followimg setting and covering; Post-transplant drench; Shank or subsurface side-dress, injected to a depth just above or just within the root zone and between the trunk and drip line of the tree canopy. Apply product in a min. of 10 gals/A using multiple shanks on both sides of trees. Ensure product placement is below sod or orchard floor debris. Irrigation covering entire treated area should follow within 48 hours to promote uptake by root system",1,"NY restriction flupyradifurone:Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)","Max Release Height (ft): 10

ASABE Droplet Size: Coarse",,,Not commercial product.
264-1198,SL,SIVANTO 400 SL,"Tropical and Subtropical, Medium to Large Fruit, Smooth, Inedible Peep (Subgrop 24B)",Agricultural (Outdoor),Foliar,Broadcast,"ground sprayers, fixed or rotary winged aircraft, or through properly designed, sprinkler-type overhead chemigation equipment",Post-emergence,When pests occur,0.183,2,0.365,2,0.365,7-days pomegranate; 14 day other listed crops,0-day pomegranate; 1-day other listed crops,Minimum Application Volume: 25 Gallons/Acre - Ground; 10 Gallons/Acre - Aerial,1,"NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)","Max Release Height (ft): 10

ASABE Droplet Size: Coarse",N/A,"Pollinators: recommended that foliar insecticides are applied late in the afternoon, evening, or at night outside of daily peak foraging periods.",DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; No aerial application in New York State. Not commercial product.
264-1198,SL,SIVANTO 400 SL,Tuberous and Corm Vegetables (Subgroup 1C),Agricultural (Outdoor),Foliar,Broadcast,"ground sprayers, fixed or rotary winged aircraft, or through properly designed, sprinkler-type overhead chemigation equipment",Post-emergence,When pests occur,0.183,NS,0.365,NS,0.365,7,7,Minimum Application Volume: 10 Gallons/Acre - Ground; 3 Gallons/Acre - Aerial,1,"NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)","Max Release Height (ft): 10

ASABE Droplet Size: Coarse",N/A,"Pollinators: recommended that foliar insecticides are applied late in the afternoon, evening, or at night outside of daily peak foraging periods.",DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; No aerial application in New York State. Not commercial product.
264-1198,SL,SIVANTO 400 SL,Tuberous and Corm Vegetables (Subgroup 1C),Agricultural (Outdoor),Soil,Chemigation/ Drench/ In-furrow/ Injection,"Chemigation low-pressure drip, trickle, micro-sprinkler or equiv. equipment; Drench at transplant or post-transplant drench; Injection or in-furrow spray for planting",Pre-emergence/ Post-emergence,When pests occur,0.365,1,0.365,1,0.365,NS,NS,"May be applied at the specified dosage by the following methods: Injection below the eventual seed row prior to planting. Place product 3 - 4 inches below seed-line; In-furrow spray during planting; Chemigation into root-zone through low-pressure drip, trickle, micro-sprinkler or equiv. equipment; Drench at transplanting; Post-transplant drench following setting and covering",1,"NY restriction flupyradifurone:Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)","Max Release Height (ft): 10

ASABE Droplet Size: Coarse",For Injection: Place product 3 - 4 inches below seed-line,,Not commercial product.
264-1198NS,SL,SIVANTO 400 SL,Turnip Greens,Agricultural (Outdoor),Foiliar,Broadcast,"ground sprayers, fixed or rotary winged aircraft, or through properly designed, sprinkler-type overhead chemigation equipment",Post-emergence,When pests occur,0.183,NS,0.365,NS,1.095,7,1,Minimum Application Volume: 10 Gallons/Acre - Ground; 3 Gallons/Acre - Aerial,3,"NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)","Max Release Height (ft): 10

ASABE Droplet Size: Coarse",N/A,"Pollinators: recommended that foliar insecticides are applied late in the afternoon, evening, or at night outside of daily peak foraging periods.",DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; No aerial application in New York State. Not commercial product.
264-1198,SL,SIVANTO 400 SL,Turnip Greens,Agricultural (Outdoor),Soil,Chemigation/ Drench/ In-furrow/ Injection,"Chemigation low-pressure drip, trickle, micro-sprinkler or equiv. equipment; Injection or in-furrow spray for planting; Potting hole drench; Post-transplant drench",Pre-emergence/ Post-emergence,When pests occur,0.365,1,0.365,3,1.095,NS,21,"May be applied at the specified dosage by the following methods: Injection below the eventual seed row prior to planting. Place product 3 - 4 inches below seed-line; In-furrow spray during planting; Chemigation into root-zone through low-pressure drip, trickle, micro-sprinkler or equiv. equipment; Pottimg hole drench at transplanting; Post-transplant drench following setting and covering",3,"NY restriction flupyradifurone: Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)",,For Injection: Place product 3 - 4 inches below seed-line,,Not commercial product.
264-REUN,SL,SIVANTO 300 SL,"Alfalfa (grown for Forage, Fodder, Straw, and Hay)",Agricultural (Outdoor),Foliar,Broadcast,"ground sprayers, fixed or rotary winged aircraft, or through properly designed, sprinkler-type overhead chemigation equipment",Post-emergence,When pests occur,0.183,NS,0.365,NS,0.365,10,7,Minimum Application Volume: 10 Gallons/Acre - Ground; 3 Gallons/Acre - Aerial,1,"NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)","Max Release Height (ft): 10

ASABE Droplet Size: Coarse",N/A,"Pollinators: recommended that foliar insecticides are applied late in the afternoon, evening, or at night outside of daily peak foraging periods.Do not apply to crop foliage during foraging by alfalfa leafcutting bees used for pollination services.",Do not use on Alfalfa Grown for Seed. DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; No aerial application in New York State.
264-REUN,SL,SIVANTO 300 SL,Blueberry,Agricultural (Outdoor),Foliar,Broadcast,"ground sprayers, fixed or rotary winged aircraft, or through properly designed, sprinkler-type overhead chemigation equipment",Post-emergence,When pests occur,0.183,NS,0.365,NS,0.365,3,30,Minimum Application Volume: 25 Gallons/Acre - Ground; 3 Gallons/Acre - Aerial,1,"NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)","Max Release Height (ft): 10

ASABE Droplet Size: Coarse",N/A,"Pollinators: recommended that foliar insecticides are applied late in the afternoon, evening, or at night outside of daily peak foraging periods.Do not apply to crop foliage during foraging by alfalfa leafcutting bees used for pollination services.",DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; No aerial application in New York State.
264-REUN,SL,SIVANTO 300 SL,Brassica Head and Stem Vegetables (CG 5-16),Agricultural (Outdoor),Foliar,Broadcast,"ground sprayers, fixed or rotary winged aircraft, or through properly designed, sprinkler-type overhead chemigation equipment",Post-emergence,When pests occur,0.183,NS,0.365,NS,1.095,7,1,Minimum Application Volume: 10 Gallons/Acre - Ground; 3 Gallons/Acre - Aerial,3,"No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties New York except as permitted under FIFRA Section 24(c), Special Local Need Registration.","Max Release Height (ft): 10

ASABE Droplet Size: Coarse",N/A,"Pollinators: recommended that foliar insecticides are applied late in the afternoon, evening, or at night outside of daily peak foraging periods.Do not apply to crop foliage during foraging by alfalfa leafcutting bees used for pollination services.",DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; No aerial application in New York State.
264-REUN,SL,SIVANTO 300 SL,Brassica Head and Stem Vegetables (CG 5-16),Agricultural (Outdoor),Soil,Chemigation/ Drench/ In-furrow/ Injection,"Chemigation low-pressure drip, trickle, micro-sprinkler or equiv. equipment; Injection or in-furrow spray for planting; Drench at transplanting; Post-transplant drench",Pre-emergence/ Post-emergence,When pests occur,0.365,1,0.365,3,1.095,NS,21,"May be applied at the specified dosage by the following methods: Injection below the eventual seed row prior to planting. Place product 3 - 4 inches below seed-line; In-furrow spray during planting; Chemigation into root-zone through low-pressure drip, trickle, micro-sprinkler or equiv. equipment; Drench at transplanting; Post-transplant drench following setting and covering",3,"NY restriction flupyradifurone: Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)",,For injection: Place product 3 - 4 inches below seed line,,
264-REUN,SL,SIVANTO 300 SL,Bushberry (subgroup 13-07B),Agricultural (Outdoor),Foliar,Broadcast,"ground sprayers, fixed or rotary winged aircraft, or through properly designed, sprinkler-type overhead chemigation equipment",Post-emergence,When pests occur,0.183,NS,0.365,NS,0.365,7,3,Minimum Application Volume: 25 Gallons/Acre - Ground; 3 Gallons/Acre - Aerial,1,"NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)","Max Release Height (ft): 10

ASABE Droplet Size: Coarse",N/A,"Pollinators: recommended that foliar insecticides are applied late in the afternoon, evening, or at night outside of daily peak foraging periods.Do not apply to crop foliage during foraging by alfalfa leafcutting bees used for pollination services.",DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; No aerial application in New York State.
264-REUN,SL,SIVANTO 300 SL,Bushberry (subgroup 13-07B),Agricultural (Outdoor),Soil,Chemigation/ Drench,"chemigation low-pressure drip, trickle, micro-sprinkler or equiv. equipment; Potting hole drench",Post-emergence,When pests occur,0.365,NS,0.365,NS,1.095,NS,30,"May be applied at the specified dosage by the following methods: Drench at transplanting; Chemigation into root-zone through low-pressure drip, trickle, micro-sprinkler or equiv. equipment",1,"NY restriction flupyradifurone: Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)",,,,
264-REUN,SL,SIVANTO 300 SL,Caneberry (subgroup 13-07A),Agricultural (Outdoor),Foliar,Broadcast,"ground sprayers, fixed or rotary winged aircraft, or through properly designed, sprinkler-type overhead chemigation equipment",Post-emergence,When pests occur,0.183,NS,0.365,NS,0.365,7,0,Minimum Application Volume: 30 Gallons/Acre - Ground; 3 Gallons/Acre - Aerial,1,"NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)","Max Release Height (ft): 10

ASABE Droplet Size: Coarse",N/A,"Pollinators: recommended that foliar insecticides are applied late in the afternoon, evening, or at night outside of daily peak foraging periods.Do not apply to crop foliage during foraging by alfalfa leafcutting bees used for pollination services.",DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; No aerial application in New York State.
264-REUN,SL,SIVANTO 300 SL,"Celtuce; Fennel, Fresh Leaves and Stalk; Kohlrabi",Agricultural (Outdoor),Foliar,Broadcast,"ground sprayers, fixed or rotary winged aircraft, or through properly designed, sprinkler-type overhead chemigation equipment",Post-emergence,When pests occur,0.183,NS,0.365,NS,1.095,7,1,Minimum Application Volume: 10 Gallons/Acre - Ground; 3 Gallons/Acre - Aerial,3,"NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)","Max Release Height (ft): 10

ASABE Droplet Size: Coarse",N/A,"Pollinators: recommended that foliar insecticides are applied late in the afternoon, evening, or at night outside of daily peak foraging periods.Do not apply to crop foliage during foraging by alfalfa leafcutting bees used for pollination services.",DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; No aerial application in New York State.
264-REUN,SL,SIVANTO 300 SL,"Celtuce; Fennel, Fresh Leaves and Stalk; Kohlrabi",Agricultural (Outdoor),Soil,Chemigation/ Drench/ In-furrow/ Injection,"Chemigation low-pressure drip, trickle, micro-sprinkler or equiv. equipment; Injection or in-furrow spray for planting; Drench for transplant; Post-transplant drench",Pre-emergence/ Post-emergence,When pests occur,0.365,1,0.365,3,1.095,7,1,"May be applied at the specified dosage by the following methods: Injection below the eventual seed row prior to planting. Place product 3 - 4 inches below seed-line; In-furrow spray during planting; Chemigation into root-zone through low-pressure drip, trickle, micro-sprinkler or equiv. equipment; Drench at transplanting; Post-transplant drench following setting and covering",3,"NY restriction flupyradifurone: Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)",,For injection: Place product 3-4 inches below seed line,,
264-REUN,SL,SIVANTO 300 SL,"Cereal Grains (CG 15), Forage, Fodder and Straw of Cereal Grains (CG 16) and Quinoa (including production for seed)",Agricultural (Outdoor),Foliar,Broadcast,"ground sprayers, fixed or rotary winged aircraft, or through properly designed, sprinkler-type overhead chemigation equipment",Post-emergence,When pests occur,0.183,NS,0.365,NS,0.365,7,"7 days hay, forage, sorghum grown for syrup, or sweet corn; 21 days dried grain, stover or straw",Minimum Application Volume: 25 Gallons/Acre - Ground; 10 Gallons/Acre - Aerial,1,"NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)","Max Release Height (ft): 10

ASABE Droplet Size: Coarse",N/A,"Pollinators: recommended that foliar insecticides are applied late in the afternoon, evening, or at night outside of daily peak foraging periods.Do not apply to crop foliage during foraging by alfalfa leafcutting bees used for pollination services.",DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; No aerial application in New York State.
264-REUN,SL,SIVANTO 300 SL,Citrus Fruit (CG 10-10),Agricultural (Outdoor),Foliar,Broadcast,"ground sprayers, fixed or rotary winged aircraft, or through properly designed, sprinkler-type overhead chemigation equipment",Post-emergence,When pests occur,0.183,NS,0.365,NS,0.365,10,1,"Minimum Application Volume: 50 Gal/A - Ground; 10 Gal/A - Aerial; For Florida only- min. application volume: 2.5 Gal/A (Ground); For Florida and Texas only: min. application volume: 3 GalA (Aerial) for control of Asian citrus psyllid. For control or suppression of other pests, application volumes should be increased to provide thorough and complete coverage to obtain adequate control.",1,"NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)","Max Release Height (ft): 10

ASABE Droplet Size: Coarse",N/A,"Pollinators: recommended that foliar insecticides are applied late in the afternoon, evening, or at night outside of daily peak foraging periods.Do not apply to crop foliage during foraging by alfalfa leafcutting bees used for pollination services.",DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; No aerial application in New York State.
264-REUN,SL,SIVANTO 300 SL,Citrus Fruit (CG 10-10),Agricultural (Outdoor),Soil,Chemigation/ Shank injection/ Drench,"Chemigation low-pressure drip, trickle, micro-sprinkler, Shank or subsurface side-dress injection; Basal drench",Post-emergence,When pests occur,0.365,1,0.365,1,0.365,NS,30,"Chemigation into root zone through low-pressure drip, trickle, micro-sprinkler or equiv. equipment; Basal drench in sufficient water to move into root zone; Shank or subsurface side-dress, injected to a depth just above or just within the root zone and between the trunk and drip line of the tree canopy. Apply product in a min. of 10 gals/A using multiple shanks on both sides of trees. Ensure product placement is below sod or orchard floor debris. Irrigation covering entire treated area should follow within 48 hours to promote uptake by root system",1,"NY restriction flupyradifurone: Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)",,,,
264-REUN,SL,SIVANTO 300 SL,"Clover (Grown for Forage, Fodder, Seed, Straw, and Hay)",Agricultural (Outdoor),Foliar,Broadcast,"ground sprayers, fixed or rotary winged aircraft, or through properly designed, sprinkler-type overhead chemigation equipment",Post-emergence,When pests occur,0.183,NS,0.365,NS,0.365,10,14,Minimum Application Volume: 10 Gallons/Acre - Ground; 3 Gallons/Acre - Aerial,1,"Only For Use in: Idaho, Oregon, and Washington. NY restriction flupyradifurone: Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)","Max Release Height (ft): 10

ASABE Droplet Size: Coarse",N/A,"Pollinators: recommended that foliar insecticides are applied late in the afternoon, evening, or at night outside of daily peak foraging periods.Do not apply to crop foliage during foraging by alfalfa leafcutting bees used for pollination services.","DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; Only For Use in: Idaho, Oregon, and Washington."
